HostID	Host_Mstar	SatID	Sat_Mstar	Sat_pos
41	70001655924.3632	303	6118535779.830952	[ -1.01995463 -74.93538179 139.35237197]
41	70001655924.3632	907	1014136605.7725201	[-20.94931134 -44.11794779 161.96383341]
67	25073400141.956367	3036	180095937.6718302	[ 49.82866268 -17.45259276  46.105514  ]
81	31033088225.96481	1408	167065385.20948124	[-31.12632078  82.68673401  -1.15613056]
81	31033088225.96481	3696	46273931.70668678	[13.94024599 61.47811681 18.14488228]
65	34354355457.410553	806	155679870.9958283	[109.39488548 169.06126557 -15.94659247]
88	27030147712.950695	2628	10438150.726262663	[-27.38580294 -21.32164049  67.75440417]
76	21839214850.457535	363	2985708876.246517	[145.35285702 -69.63636123  56.60085178]
76	21839214850.457535	2744	17810971.29877774	[-130.34131668   26.65814795   29.29627817]
76	21839214850.457535	2797	73934552.44775227	[-10.85947588  63.19978696  -3.06145873]
43	38607766835.23122	1417	97531815.85220507	[-41.61718907 -49.58242699 129.83308897]
43	38607766835.23122	1460	411088654.67786753	[ 60.52151377  24.93187702 -63.11675924]
43	38607766835.23122	1965	241921236.7311671	[-15.19419367  88.13534978 -30.83034587]
68	26450806758.635952	2284	84839173.947396	[  82.88714496   -3.01707039 -152.31362698]
124	16787264786.972746	2852	115412311.74680336	[ 17.99957111 -61.40062672  49.8989947 ]
23	86272219016.69829	311	8186159853.522704	[ 23.60249099  49.08565815 209.73628575]
23	86272219016.69829	578	1261087804.497037	[ -99.20705021  257.69537537 -320.1101251 ]
23	86272219016.69829	893	1790194095.714419	[-134.59760416   22.33836032  -59.54628205]
23	86272219016.69829	925	623418607.110303	[  37.28379398   72.05737906 -139.96886308]
23	86272219016.69829	1026	269571378.0605806	[ -73.58654507 -124.36012254 -216.03876029]
23	86272219016.69829	2435	229595646.10604832	[-149.06136427  122.44193761  197.51975093]
121	16539773933.86193	961	358800354.6579007	[-68.59713176  60.19774306 -49.70805363]
121	16539773933.86193	1116	28844669.713122375	[   9.05895778 -142.91739043  117.61627707]
121	16539773933.86193	1403	95036469.61771372	[ 68.50461141  -6.66410956 -64.25802353]
66	34772624807.68468	2426	11083686.388435425	[  79.56586234 -103.34759561   27.1533285 ]
28	77814358888.47896	394	5326171408.381636	[ -4.6374337   76.87964171 -67.96668167]
28	77814358888.47896	2417	312041130.1937943	[ 18.04632346  76.3836201  -81.30227328]
28	77814358888.47896	2540	81617598.95141067	[  3.99157975 -53.84522574 -51.50574363]
28	77814358888.47896	3373	29431792.28493669	[143.70590077 -96.74193312 -30.98039663]
28	77814358888.47896	3376	439589488.2756349	[ 35.22814255  -0.70453492 -15.90351839]
28	77814358888.47896	786	625403903.3190348	[ 254.79167883 -172.76165524  105.70588496]
37	60588426398.767	411	5822771983.523019	[  8.51003548  74.91918189 -68.72899749]
37	60588426398.767	1657	27045568.54316534	[104.03679159 -37.06761117 -94.63075256]
37	60588426398.767	1889	15978839.800003322	[  99.61417776  283.85573292 -139.12074873]
37	60588426398.767	1991	24912622.78052544	[-15.92938853 286.7799332   12.71044146]
37	60588426398.767	3998	142843944.8573798	[-35.65243258 -47.40759475 -61.82573791]
37	60588426398.767	1179	58806598.49252218	[-263.33342682 -166.27372413  -51.62582046]
37	60588426398.767	3803	12498170.893828452	[-157.51961399 -291.22770343   44.0339515 ]
77	31035962353.331318	3329	100771510.60824217	[-56.72521891  24.5844378  -25.14328077]
38	73252433871.98828	758	1357774807.455164	[-102.32416551   69.78911478  232.45102924]
38	73252433871.98828	3777	15290818.697223824	[  77.44067526 -106.46557239 -294.79413703]
38	73252433871.98828	3966	39982609.55091065	[  82.15162733   98.12844216 -151.27390252]
42	61046511150.37285	1040	244387023.26544017	[ -5.31848304 -42.80035686  93.24883036]
42	61046511150.37285	2221	565005240.489938	[54.08528155  1.16475731 27.29313957]
42	61046511150.37285	2345	43724151.57510717	[ 10.31394653 -38.99129859   5.75343145]
42	61046511150.37285	3243	15398095.844768208	[113.33633047 -31.33335406  62.01876761]
47	48027673042.22839	774	1648538716.3727388	[ 61.76243793 -14.93190827 111.12040372]
47	48027673042.22839	2691	16467176.96489955	[ 112.21076596 -160.62569899  101.12940994]
115	16667520152.897722	3041	34621523.24479797	[ 22.4214497  -61.39902018 130.97187902]
99	17617939706.88579	1048	146124777.81132913	[ -13.48693127 -105.0410051   -71.08529229]
103	15038301568.810268	1617	18808788.405427594	[-153.1572563   -80.26391568  -42.10015343]
126	12525731013.891907	1482	300899055.4284271	[ 51.73003667  -6.04486691 -16.15611343]
48	49120819449.74623	848	1194212255.9938345	[-38.94184793  63.96128699  25.48294135]
48	49120819449.74623	3691	42676469.65738069	[-190.10772498   53.38930987  -76.14539717]
29	79152135540.27214	825	1718404613.3569627	[-76.54532535  51.52601023 -26.08015901]
29	79152135540.27214	849	375098671.0304763	[  -2.87791303 -116.1343375   -19.17556118]
29	79152135540.27214	986	791105503.4917579	[  36.93545925 -125.3155546   129.62518122]
29	79152135540.27214	1731	155364099.74823886	[  39.7478604  -222.87763515  181.42960818]
29	79152135540.27214	2847	220550018.74677244	[  16.60191905 -114.23553238  -47.45312948]
29	79152135540.27214	3351	104314746.90243085	[-54.36772223  47.34958314  25.91528076]
78	27681959003.452	781	393706637.55093557	[ 60.12477963 176.47052149 -49.72132766]
108	23483226051.247654	2405	47740429.38844626	[-38.94643498 -88.10376446 -45.54917166]
34	63719996643.262985	3162	41077603.76786604	[  37.04669374   92.95645587 -150.59923935]
52	23222913729.967773	1367	140676299.0777733	[  66.4804518   -29.77445372 -131.89243857]
52	23222913729.967773	1960	373664183.2219823	[-22.59804573  64.31031414  35.84688277]
52	23222913729.967773	2024	97677097.09305356	[-117.85878204  152.09260414   -3.64916959]
52	23222913729.967773	2565	48904968.41407649	[-14.52777314 -72.29041514  45.79432555]
52	23222913729.967773	2916	339379236.44489187	[ 20.27011323 -29.39237152  28.01684063]
114	19648466320.688488	346	6517470103.816438	[97.37167104 34.35312517  7.53454886]
94	14841609942.78355	1935	101435046.6910393	[  -4.24485718 -120.96571936   61.49849472]
64	36340644294.095924	3222	10628136.545629863	[ 33.47379871  24.43186577 -87.75502758]
